Rk,Player,FantPt,FanPosRank,FanOvRank
1,Antonio Brown*+\BrowAn04,250,1,1
2,Devonta Freeman*\FreeDe00,243,1,2
3,Julio Jones*+\JoneJu02,235,2,3
4,Adrian Peterson*+\PeteAd01,231,2,4
5,Cam Newton*+\NewtCa00,391,1,5
6,Brandon Marshall*\MarsBr00,230,3,6
7,Allen Robinson*\RobiAl02,224,4,7
8,Odell Beckham*\BeckOd00,223,5,8
9,Rob Gronkowski*+\GronRo00,184,1,9
10,DeAndre Hopkins*\HopkDe00,220,6,10
11,Doug Martin*+\MartDo00,199,3,11
12,Gary Barnidge*\BarnGa01,158,2,12
13,Jordan Reed\ReedJo02,157,3,13
14,DeAngelo Williams\WillDe02,191,4,14
15,Doug Baldwin\BaldDo00,191,7,15
16,Todd Gurley*\GurlTo01,189,5,16
17,A.J. Green*\GreeA.00,188,8,17
18,Greg Olsen*\OlseGr00,150,4,18
19,Delanie Walker*\WalkHu00,150,5,19
20,Lamar Miller\MillLa01,185,6,20
21,Tom Brady*\BradTo00,344,2,21
22,Russell Wilson*\WilsRu00,342,3,22
23,Tyler Eifert*\EifeTy00,140,6,23
24,David Johnson\JohnDa08,174,7,24
25,Matt Forte\FortMa00,173,8,25
26,Chris Ivory*\IvorCh00,173,9,26
27,Calvin Johnson*\JohnCa00,173,9,27
28,Eric Decker\DeckEr00,173,10,28
29,Larry Fitzgerald*\FitzLa00,172,11,29
30,Brandin Cooks\CookBr00,170,12,30
31,Latavius Murray*\MurrLa00,164,10,31
32,Demaryius Thomas\ThomDe03,164,13,32
33,Danny Woodhead\WoodDa02,163,11,33
34,Blake Bortles\BortBl00,324,4,34
35,Allen Hurns\HurnAl01,163,14,35
36,Frank Gore\GoreFr00,159,12,36
37,Jarvis Landry*\LandJa00,159,15,37
38,Sammy Watkins\WatkSa00,159,16,38
39,Jeremy Hill\HillJe01,157,13,39
40,Darren McFadden\McFaDa00,156,14,40
41,Jeremy Maclin\MaclJe00,156,17,41
42,Travis Kelce*\KelcTr00,118,7,42
43,Mark Ingram\IngrMa01,153,15,43
44,Ben Watson\WatsBe00,117,8,44
45,Carson Palmer*\PalmCa00,309,5,45
46,Emmanuel Sanders\SandEm00,148,18,46
47,Jonathan Stewart*\StewJo00,147,16,47
48,LeSean McCoy*\McCoLe01,147,17,48
49,Michael Crabtree\CrabMi00,146,19,49
50,Jordan Matthews\MattJo00,146,20,50
51,Drew Brees\BreeDr00,306,6,51
52,Aaron Rodgers*\RodgAa00,305,7,52
53,John Brown\BrowJo02,143,21,53
54,T.Y. Hilton*\HiltT.00,142,22,54
55,DeMarco Murray\MurrDe00,140,18,55
56,James Jones\JoneJa04,141,23,56
57,Amari Cooper*\CoopAm00,141,25,57
58,Tavon Austin\AustTa00,141,24,58
59,Ted Ginn\GinnTe00,140,26,59
60,Richard Rodgers\RodgRi00,102,9,60
61,Ronnie Hillman\HillRo00,137,19,61
62,Rashad Jennings\JennRa00,136,20,62
63,Mike Evans\EvanMi00,137,27,63
64,Kirk Cousins\CousKi00,295,8,64
65,Giovani Bernard\BernGi00,132,21,65
66,Zach Ertz\ErtzZa00,95,10,66
67,Matthew Stafford\StafMa00,292,9,67
68,Charles Sims\SimsCh00,129,22,68
69,Antonio Gates\GateAn00,93,11,69
70,Jeremy Langford\LangJe00,128,23,70
71,Travis Benjamin\BenjTr00,128,28,71
72,Rueben Randle\RandRu00,128,29,72
73,Eli Manning*\MannEl00,287,10,73
74,Philip Rivers\RivePh00,286,11,74
75,Ryan Fitzpatrick\FitzRy00,285,12,75
76,James Starks\StarJa00,123,24,76
77,Kamar Aiken\AikeKa00,124,30,77
78,Richie Brockel\BrocRi00,,3,78
79,Jameis Winston*\WinsJa00,279,13,
80,Tyrod Taylor*\TaylTy00,275,14,
81,Derek Carr*\CarrDe02,273,15,
82,Alex Smith\SmitAl03,273,16,
83,Ryan Tannehill\TannRy00,259,17,
84,Andy Dalton\DaltAn00,244,18,
85,Matt Ryan\RyanMa00,236,19,
86,Ben Roethlisberger*\RoetBe00,234,20,
87,Jay Cutler\CutlJa00,230,21,
88,Marcus Mariota\MariMa01,210,22,
89,Teddy Bridgewater*\BridTe00,200,23,
90,Sam Bradford\BradSa00,195,24,
91,Brian Hoyer\HoyeBr00,169,25,
92,Joe Flacco\FlacJo00,166,26,
93,Josh McCown\McCoJo01,136,27,
94,Andrew Luck\LuckAn00,133,28,
95,Blaine Gabbert\GabbBl00,130,29,
96,Randall Cobb\CobbRa00,124,31,
97,Michael Floyd\FloyMi00,121,33,
98,Eddie Lacy\LacyEd00,121,26,
99,Thomas Rawls\RawlTh00,121,25,
100,Golden Tate\TateGo00,121,32,
101,Martavis Bryant\BryaMa00,120,34,
102,T.J. Yeldon\YeldT.00,120,27,
103,Isaiah Crowell\CrowIs00,119,28,
104,Brock Osweiler\OsweBr00,119,30,
105,LeGarrette Blount\BlouLe00,117,29,
106,C.J. Anderson\AndeC.00,116,30,
107,Pierre Garcon\GarcPi00,116,36,
108,Willie Snead\SneaWi00,116,35,
109,Charcandrick West\WestCh01,113,32,
110,Karlos Williams\WillKa01,113,31,
111,Julian Edelman\EdelJu00,112,37,
112,Colin Kaepernick\KaepCo00,112,31,
113,Marvin Jones\JoneMa02,109,40,
114,Donte Moncrief\MoncDo00,109,38,
115,Markus Wheaton\WheaMa00,109,39,
116,Alshon Jeffery\JeffAl00,105,41,
117,Ryan Mathews\MathRy00,105,33,
118,Anquan Boldin\BoldAn00,103,42,
119,Duke Johnson\JohnDu00,103,34,
120,Tyler Lockett*+\LockTy00,102,43,
121,Terrance Williams\WillTe01,102,44,
122,Javorius Allen\AlleJa01,101,36,
123,Chris Johnson\JohnCh04,101,35,
124,Jermaine Kearse\KearJe01,101,45,
125,Shane Vereen\VereSh00,100,37,
126,Theo Riddick\RiddTh00,99,38,
127,Keenan Allen\AlleKe00,97,47,
128,Alfred Blue\BlueAl00,97,39,
129,Stefon Diggs\DiggSt00,97,46,
130,Nick Foles\FoleNi00,96,32,
131,Matt Jones\JoneMa04,95,40,
132,Peyton Manning\MannPe00,95,33,
133,Johnny Manziel\ManzJo00,95,34,
134,Darren Sproles*\SproDa00,95,48,
135,Justin Forsett\ForsJu00,93,41,
136,Ameer Abdullah\AbduAm00,92,42,
137,Torrey Smith\SmitTo02,92,49,
138,Antonio Andrews\AndrAn00,91,43,
139,Matt Hasselbeck\HassMa00,91,35,
140,Rishard Matthews\MattRi00,91,50,
141,Nate Washington\WashNa00,90,51,
142,Bilal Powell\PoweBi00,88,44,
143,Le'Veon Bell\BellLe00,87,45,
144,Alfred Morris\MorrAl00,87,46,
145,Jason Witten\WittJa00,87,12,
146,Joique Bell\BellJo01,86,47,
147,Kenny Britt\BritKe00,86,52,
148,Steve Smith\SmitSt01,85,53,
149,Eric Ebron\EbroEr00,84,13,
150,Dion Lewis\LewiDi00,84,48,
151,Danny Amendola\AmenDa00,83,54,
152,James White\WhitJa02,83,49,
153,Dorial Green-Beckham\GreeDo00,81,55,
154,Cole Beasley\BeasCo00,80,57,
