Player,FantPt,FanPosRank,FanOvRank
Todd Gurley*+\GurlTo01,313,1,1
Saquon Barkley*\BarkSa00,295,2,2
Christian McCaffrey\McCaCh01,279,3,3
Alvin Kamara*\KamaAl00,273,4,4
Patrick Mahomes*+\MahoPa00,417,1,5
Tyreek Hill*+\HillTy00,247,1,6
Ezekiel Elliott*\ElliEz00,252,5,7
Travis Kelce*+\KelcTr00,192,1,8
Antonio Brown*\BrowAn04,220,2,9
Davante Adams*\AdamDa01,219,3,10
DeAndre Hopkins*+\HopkDe00,219,4,11
Julio Jones*\JoneJu02,213,5,12
Melvin Gordon*\GordMe00,226,6,13
James Conner*\ConnJa00,225,7,14
George Kittle*\KittGe00,171,2,15
Mike Evans*\EvanMi00,198,6,16
Zach Ertz*\ErtzZa00,164,3,17
Adam Thielen*\ThieAd00,194,7,18
Michael Thomas*+\ThomMi05,191,8,19
Eric Ebron*\EbroEr00,156,4,20
Matt Ryan\RyanMa00,354,2,21
JuJu Smith-Schuster*\SmitJu00,186,9,22
Kareem Hunt\HuntKa00,204,8,23
Joe Mixon\MixoJo00,200,9,24
Robert Woods\WoodRo02,180,10,25
David Johnson\JohnDa08,197,10,26
Ben Roethlisberger\RoetBe00,341,3,27
James White\WhitJa02,190,11,28
Phillip Lindsay*\LindPh00,188,12,29
Derrick Henry\HenrDe00,186,13,30
Deshaun Watson*\WatsDe00,332,4,31
Tyler Lockett\LockTy00,165,11,32
Stefon Diggs\DiggSt00,164,12,33
Brandin Cooks\CookBr00,163,13,34
Keenan Allen*\AlleKe00,163,14,35
T.Y. Hilton\HiltT.00,163,15,36
Chris Carson\CarsCh00,181,14,37
Andrew Luck*\LuckAn00,327,5,38
Jared Cook*\CookJa02,126,5,39
Nick Chubb\ChubNi00,175,15,40
Odell Beckham\BeckOd00,153,16,41
Adrian Peterson\PeteAd01,169,16,42
Aaron Rodgers*\RodgAa00,313,6,43
Tyler Boyd\BoydTy00,145,17,44
Jared Goff*\GoffJa00,310,7,45
Tarik Cohen*+\CoheTa00,163,17,46
Calvin Ridley\RidlCa00,143,18,47
Tevin Coleman\ColeTe01,162,18,48
Marlon Mack\MackMa00,161,19,49
Jordan Howard\HowaJo00,160,20,50
Amari Cooper*\CoopAm00,141,19,51
Drew Brees*\BreeDr00,304,8,52
Mike Williams\WillMi07,137,20,53
Kenny Golladay\GollKe00,137,21,54
Jarvis Landry*\LandJa00,136,22,55
Kenyan Drake\DrakKe00,153,21,56
Julian Edelman\EdelJu00,133,23,57
Russell Wilson*\WilsRu00,298,9,58
Lamar Miller*\MillLa01,148,22,59
Emmanuel Sanders\SandEm00,127,24,60
Trey Burton\BurtTr01,93,6,61
Aaron Jones\JoneAa00,145,23,62
Chris Godwin\GodwCh00,126,25,63
Austin Hooper*\HoopAu00,92,7,64
David Njoku\NjokDa00,88,8,65
Kyle Rudolph\RudoKy00,87,9,66
Alshon Jeffery\JeffAl00,120,26,67
O.J. Howard\HowaO.00,87,10,68
Dak Prescott*\PresDa01,286,10,69
Philip Rivers*\RivePh00,285,11,70
Corey Davis\DaviCo03,119,27,71
Rob Gronkowski\GronRo00,84,11,72
Larry Fitzgerald\FitzLa00,117,28,73
Sterling Shepard\ShepSt00,117,29,74
Mohamed Sanu\SanuMo00,116,30,75
Matt Breida\BreiMa00,136,24,76
Shane Smith\SmitSh02,,1,77
Vance McDonald\McDoVa00,83,12,78
Cam Newton\NewtCa00,283,12,
Kirk Cousins\CousKi00,282,13,
Tom Brady*\BradTo00,280,14,
Mitchell Trubisky*\TrubMi00,263,15,
Eli Manning\MannEl00,240,17,
Baker Mayfield\MayfBa00,240,16,
Derek Carr\CarrDe02,216,18,
Case Keenum\KeenCa00,215,19,
Matthew Stafford\StafMa00,212,20,
Josh Allen\AlleJo02,208,21,
Jameis Winston\WinsJa00,196,22,
Carson Wentz\WentCa00,193,23,
Andy Dalton\DaltAn00,175,25,
Marcus Mariota\MariMa01,175,24,
Blake Bortles\BortBl00,173,26,
Sam Darnold\DarnSa00,168,27,
Ryan Fitzpatrick\FitzRy00,166,28,
Lamar Jackson\JackLa00,158,29,
Ryan Tannehill\TannRy00,142,30,
Alex Smith\SmitAl03,138,31,
Joe Flacco\FlacJo00,137,32,
Sony Michel\MichSo00,132,25,
Peyton Barber\BarbPe01,130,26,
Austin Ekeler\EkelAu00,130,27,
Nick Mullens\MullNi00,123,33,
Mark Ingram\IngrMa01,122,28,
Isaiah Crowell\CrowIs00,120,29,
T.J. Yeldon\YeldT.00,118,30,
Dede Westbrook\WestDe00,114,31,
Adam Humphries\HumpAd00,113,32,
Josh Rosen\RoseJo01,113,34,
Dalvin Cook\CookDa01,112,31,
DeSean Jackson\JackDe00,110,33,
Latavius Murray\MurrLa00,110,32,
Zay Jones\JoneZa00,109,34,
Golden Tate\TateGo00,109,35,
Kerryon Johnson\JohnKe06,107,33,
Robby Anderson\AndeRo04,106,36,
Mike Davis\DaviMi01,103,34,
A.J. Green\GreeA.00,103,37,
John Brown\BrowJo02,102,39,
Dion Lewis\LewiDi00,102,36,
Doug Martin\MartDo00,102,35,
D.J. Moore\MoorD.00,102,38,
Nelson Agholor\AghoNe00,101,40,
Leonard Fournette\FourLe00,98,37,
Josh Gordon\GordJo02,98,44,
Nyheim Hines\HineNy00,98,38,
Allen Robinson\RobiAl02,98,41,
Curtis Samuel\SamuCu00,98,42,
Demaryius Thomas\ThomDe03,98,43,
Kenny Stills\StilKe00,97,45,
Tyrell Williams\WillTy00,97,46,
Cooper Kupp\KuppCo00,95,47,
Alex Collins\CollAl00,94,39,
Jordy Nelson\NelsJo00,94,49,
Courtland Sutton\SuttCo00,94,48,
LeSean McCoy\McCoLe01,93,40,
Doug Baldwin\BaldDo00,92,50,
Frank Gore\GoreFr00,91,41,
Antonio Callaway\CallAn00,89,51,
Jalen Richard\RichJa01,89,43,
Wendell Smallwood\SmalWe00,89,42,
Gus Edwards\EdwaGu00,88,45,
Carlos Hyde\HydeCa00,88,44,
Royce Freeman\FreeRo00,87,47,
Anthony Miller\MillAn02,87,52,
Jamaal Williams\WillJa06,87,46,
Cole Beasley\BeasCo00,85,53,
Jeff Driskel\DrisJe00,85,35,
Taylor Gabriel\GabrTa00,85,54,
Duke Johnson\JohnDu00,85,48,
Donte Moncrief\MoncDo00,83,55,
Evan Engram\EngrEv00,81,13,
Marvin Jones\JoneMa02,81,56,
Christian Kirk\KirkCh01,81,57,
Michael Crabtree\CrabMi00,79,60,
Devin Funchess\FuncDe00,79,59,
Rashard Higgins\HiggRa00,79,58,
LeGarrette Blount\BlouLe00,77,50,
Alfred Blue\BlueAl00,77,49,
Dante Pettis\PettDa00,77,61,
Jimmy Graham\GrahJi00,76,14,
Cordarrelle Patterson\PattCo00,76,62,
Damien Williams\WillDa05,76,51,
Josh Adams\AdamJo03,75,52,
C.J. Beathard\BeatC.00,75,37,
Nick Foles\FoleNi00,75,36,
David Moore\MoorDa03,75,64,
Sammy Watkins\WatkSa00,75,63,
Will Fuller\FullWi01,74,65,
Chris Herndon\HernCh00,74,15,
Mark Andrews\AndrMa00,73,16,
Kendrick Bourne\BourKe00,73,67,
Tre'Quan Smith\SmitTr03,73,68,
Marquez Valdes-Scantling\ValdMa00,73,66,
Robert Foster\FostRo01,72,70,
Willie Snead\SneaWi00,72,69,
Chris Hogan\HogaCh00,71,71,
Josh Reynolds\ReynJo00,71,72,
Ito Smith\SmitIt00,71,53,
Albert Wilson\WilsAl02,71,73,
Danny Amendola\AmenDa00,68,74,
Brock Osweiler\OsweBr00,68,38,
Elijah McGuire\McGuEl00,67,54,
Jordan Reed\ReedJo02,66,17,
Josh Doctson\DoctJo00,65,75,
Michael Gallup\GallMi00,65,76,
Chris Ivory\IvorCh00,65,55,
Marquise Goodwin\GoodMa00,64,77,
Marshawn Lynch\LyncMa00,64,56,
Chester Rogers\RogeCh02,64,78,
John Ross\RossJo00,64,79,
Jaylen Samuels\SamuJa00,64,57,
Cameron Brate\BratCa00,63,18,
C.J. Anderson\AndeC.00,62,58,
Seth Roberts\RobeSe00,62,80,
