Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Pierre Garcon\GarcPi00,WAS,27,WR,16,16,181,113,62.4%,1346,11.9,5,61,53,7.4,7.1,84.1,1
2,Antonio Brown*\BrowAn04,PIT,25,WR,16,14,167,110,65.9%,1499,13.6,8,70,56,9.0,6.9,93.7,1
3,Andre Johnson*\JohnAn02,HOU,32,WR,16,16,181,109,60.2%,1407,12.9,5,69,62,7.8,6.8,87.9,0
4,Julian Edelman\EdelJu00,NWE,27,WR,16,11,151,105,69.5%,1056,10.1,6,54,44,7.0,6.6,66.0,6
5,Brandon Marshall*\MarsBr00,CHI,29,WR,16,16,164,100,61.0%,1295,13.0,12,70,44,7.9,6.3,80.9,0
6,A.J. Green*\GreeA.00,CIN,25,WR,16,16,178,98,55.1%,1426,14.6,11,65,82,8.0,6.1,89.1,1
7,Kendall Wright\WrigKe01,TEN,24,WR,16,12,139,94,67.6%,1079,11.5,2,55,45,7.8,5.9,67.4,2
8,Dez Bryant*\BryaDe01,DAL,25,WR,16,16,159,93,58.5%,1233,13.3,13,68,79,7.8,5.8,77.1,3
9,Demaryius Thomas*\ThomDe03,DEN,26,WR,16,16,142,92,64.8%,1430,15.5,14,66,78,10.1,5.8,89.4,2
10,Alshon Jeffery*\JeffAl00,CHI,23,WR,16,14,148,89,60.1%,1421,16.0,7,62,80,9.6,5.6,88.8,3
11,Eric Decker\DeckEr00,DEN,26,WR,16,16,136,87,64.0%,1288,14.8,11,63,61,9.5,5.4,80.5,2
12,Josh Gordon*+\GordJo02,CLE,22,WR,14,14,159,87,54.7%,1646,18.9,9,64,95,10.4,6.2,117.6,0
13,Jimmy Graham*+\GrahJi00,NOR,27,TE/wr,16,12,142,86,60.6%,1215,14.1,16,61,56,8.6,5.4,75.9,0
14,Anquan Boldin\BoldAn00,SFO,33,WR,16,16,129,85,65.9%,1179,13.9,7,63,63,9.1,5.3,73.7,0
15,Harry Douglas\DougHa00,ATL,29,WR,16,11,132,85,64.4%,1067,12.6,2,47,80,8.1,5.3,66.7,3
16,Jordy Nelson\NelsJo00,GNB,28,WR,16,16,127,85,66.9%,1314,15.5,8,60,76,10.3,5.3,82.1,0
17,Calvin Johnson*+\JohnCa00,DET,28,WR,14,14,156,84,53.8%,1492,17.8,12,69,87,9.6,6.0,106.6,1
18,Tony Gonzalez*\GonzTo00,ATL,37,TE,16,16,121,83,68.6%,859,10.3,8,57,25,7.1,5.2,53.7,0
19,Larry Fitzgerald*\FitzLa00,ARI,30,WR,16,16,135,82,60.7%,954,11.6,10,49,75,7.1,5.1,59.6,1
