Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
1,Michael Thomas,NOR,1253.089412,7.654922572,1.532214148,26,WR,16,15,185,149,0.81,1725,11.6,9,91,49,9.3,9.3,107.8,1,7,226,1,7
2,Christian McCaffrey,CAR,721.495305,4.674866869,1.866589887,23,RB,16,16,142,116,0.82,1005,8.7,4,58,28,7.1,7.3,62.8,1,1,355,1,1
3,Keenan Allen,LAC,877.2251861,5.343317493,1.026364317,27,WR,16,16,149,104,0.7,1199,11.5,6,63,45,8,6.5,74.9,0,37,158,11,37
4,DeAndre Hopkins,HOU,873.5417471,5.551729325,1.071071138,27,WR,15,15,150,104,0.69,1165,11.2,7,68,43,7.8,6.9,77.7,0,35,165,10,35
5,Julian Edelman,NWE,818.2227848,5.180264409,1.436407139,33,WR,16,13,153,100,0.65,1117,11.2,6,54,44,7.3,6.3,69.8,3,40,156,13,40
6,Julio Jones,ATL,1040.516113,5.177123972,1.235033113,30,WR,15,15,157,99,0.63,1394,14.1,6,77,54,8.9,6.6,92.9,1,27,175,5,27
7,Allen Robinson,CHI,839.6366185,5.352211382,1.006854824,26,WR,16,15,154,98,0.64,1147,11.7,7,63,49,7.4,6.1,71.7,0,39,157,12,39
8,Travis Kelce,KAN,898.2801939,4.867113796,1.143126049,30,TE,16,16,136,97,0.71,1229,12.7,5,65,47,9,6.1,76.8,1,8,157,1,8
9,Cooper Kupp,LAR,847.6296828,5.872137372,1.483683073,26,WR,16,14,134,94,0.7,1161,12.4,10,51,66,8.7,5.9,72.6,3,26,177,4,26
10,Austin Ekeler,LAC,723.4314294,5.146409936,1.603524056,24,RB,16,8,108,92,0.85,993,10.8,8,42,84,9.2,5.8,62.1,3,10,217,7,10
11,Tyler Boyd,CIN,768.555366,4.623749189,1.18463887,25,WR,16,15,148,90,0.61,1046,11.6,5,51,47,7.1,5.6,65.4,2,68,133,25,68
12,Darren Waller,OAK,839.7980538,4.187572432,1.025536751,27,TE,16,16,117,90,0.77,1145,12.7,3,53,75,9.8,5.6,71.6,1,19,131,4,19
13,Robert Woods,LAR,851.1886105,3.910455623,0.953689883,27,WR,15,15,139,90,0.65,1134,12.6,2,54,48,8.2,6,75.6,0,59,143,22,59
